NOM;REG;COD_PRO;COD_COM;NOM_COM;RURAL;LATITUD;LONGITUD
COLEGIO HEBREO;9;91;9101;TEMUCO;0;-38,734589;-72,607307
COLEGIO DE EDUC. DE ADULTOS ANDES;9;91;9101;TEMUCO;0;-38,735104;-72,58938
JARDIN INFANTIL ALEN;9;91;9101;TEMUCO;0;-38,744133;-72,58867
COLEGIO ADULTOS CRECE: APRENDIZAJE Y DESARROL;9;91;9101;TEMUCO;0; ; 
ESCUELA PART. TEMUCO COLLEGE;9;91;9101;TEMUCO;0;-38,738071;-72,610168
ESCUELA ESPECIAL LIWEN;9;91;9101;TEMUCO;0;-38,738052;-72,6071
ESCUELA DE LENGUAJE MANANTIAL;9;91;9101;TEMUCO;0;-38,74708;-72,60639
COLEGIO NEWHARVEST;9;91;9101;TEMUCO;0;-38,7668;-72,762878
LICEO PARTICULAR SAN ROQUE;9;91;9101;TEMUCO;0;-38,75882;-72,632607
COLEGIO DE EDUCACION DE ADULTOS HORIZONTE;9;91;9101;TEMUCO;0;-38,734097;-72,6072
JARDIN INFANTIL RAKIDUAM;9;91;9101;TEMUCO;1; ; 
JARDIN INFANTIL DE COLORES;9;91;9101;TEMUCO;0;-38,715584;-72,64777
GEORGE CHAYTOR ENGLISH COLLEGE;9;91;9101;TEMUCO;0;-38,735849;-72,6436
ESCUELA ESPECIAL DE LENGUAJE HABLAPALABRAS;9;91;9101;TEMUCO;0;-38,742226;-72,63317
ESCUELA ESPECIAL DE LENGUAJE PEKES;9;91;9101;TEMUCO;0;-38,751255;-72,63246
COLEGIO DE ADULTOS RAYENCO;9;91;9101;TEMUCO;0;-38,760284;-72,63176
ESCUELA ESPECIAL DE LENGUAJE ALEMANIA;9;91;9101;TEMUCO;0;-38,72289;-72,6395
ESCUELA ESPECIAL DE LENGUAJE RAICES DEL SUR;9;91;9101;TEMUCO;0;-38,734426;-72,607694
ESCUELA ESPECIAL DE LENGUAJE WILEF;9;91;9101;TEMUCO;0;-38,757339;-72,631885
COLEGIO BICENTENARIO CUMBRES DE LABRANZA;9;91;9101;TEMUCO;0;-38,76717;-72,757942
COLEGIO DE EDUCACION ADULTOS CORDILLERA;9;91;9101;TEMUCO;0;-38,735233;-72,59011
