C_senatorial,Distrito,Comuna,C_electoral,Local,Mesa,Sexo,R_etario,Nacionalidad,Votantes
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,20-29,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,30-39,CHILE,33
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,30-39,HAITI,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,40-49,CHILE,18
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,50-59,CHILE,31
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,60-69,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,70-79,CHILE,19
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,HOMBRES,80+,CHILE,6
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,18-19,CHILE,6
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,20-29,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,20-29,COLOMBIA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,30-39,CHILE,19
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,40-49,CHILE,33
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,50-59,CHILE,31
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,60-69,CHILE,38
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,70-79,CHILE,33
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,2,MUJERES,80+,CHILE,15
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,18-19,CHILE,4
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,20-29,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,30-39,CHILE,16
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,40-49,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,40-49,HAITI,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,50-59,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,60-69,CHILE,28
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,70-79,CHILE,15
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,HOMBRES,80+,CHILE,4
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,18-19,CHILE,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,20-29,CHILE,16
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,30-39,CHILE,28
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,40-49,CHILE,20
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,50-59,CHILE,42
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,60-69,CHILE,63
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,70-79,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,3,MUJERES,80+,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,18-19,CHILE,8
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,20-29,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,30-39,CHILE,28
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,30-39,VENEZUELA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,40-49,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,50-59,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,60-69,CHILE,30
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,70-79,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,HOMBRES,80+,CHILE,9
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,20-29,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,30-39,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,40-49,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,50-59,CHILE,36
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,60-69,CHILE,37
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,70-79,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,4,MUJERES,80+,CHILE,15
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,18-19,CHILE,4
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,20-29,CHILE,17
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,30-39,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,40-49,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,40-49,VENEZUELA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,50-59,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,60-69,CHILE,24
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,70-79,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,HOMBRES,80+,CHILE,8
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,18-19,CHILE,3
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,20-29,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,30-39,CHILE,28
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,40-49,CHILE,35
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,40-49,COLOMBIA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,50-59,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,60-69,CHILE,38
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,70-79,CHILE,23
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,5,MUJERES,80+,CHILE,22
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,20-29,CHILE,21
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,30-39,CHILE,26
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,30-39,HAITI,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,40-49,CHILE,28
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,40-49,VENEZUELA,1
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,50-59,CHILE,35
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,60-69,CHILE,20
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,70-79,CHILE,14
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,HOMBRES,80+,CHILE,2
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,18-19,CHILE,5
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,20-29,CHILE,18
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,30-39,CHILE,25
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,40-49,CHILE,29
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,50-59,CHILE,37
11,22,ANGOL,ANGOL,COLEGIO BASICO ARAGON,6,MUJERES,60-69,CHILE,51
